Citas,Originales,Respuestas,Retweets,Total,Prop. Citas,Prop. Originales,Prop. Respuestas,Prop. Retweets
5256,11591,4246,62142,83235,0.06314651288520454,0.1392563224605034,0.05101219438937947,0.7465849702649126
791,2360,703,11176,15030,0.052628077178975385,0.15701929474384566,0.04677312042581504,0.7435795076513639
818,2444,741,9239,13242,0.06177314605044555,0.18456426521673464,0.05595831445400997,0.6977042742788099
316,805,250,3948,5319,0.059409663470577176,0.15134423763865387,0.04700131603684903,0.7422447828539199
1267,3734,995,16909,22905,0.055315433311504035,0.16302117441606637,0.043440296878410826,0.7382230953940188
799,1995,666,9975,13435,0.059471529586899885,0.14849274283587643,0.04957201339784146,0.7424637141793822
5129,13964,4622,61847,85562,0.05994483532409247,0.16320329118066432,0.054019307636567634,0.7228325658586756
45,209,31,626,911,0.04939626783754116,0.22941822173435786,0.03402854006586169,0.6871569703622393
2216,5671,1883,28669,38439,0.057649782772704806,0.1475324540180546,0.048986706209838964,0.7458310569994017
8051,20156,6687,87074,121968,0.06600911714548079,0.16525646071100616,0.054825855962219595,0.7139085661812935
6196,19524,6502,86798,119020,0.0520584775667955,0.1640396572004705,0.05462947403797681,0.7292723911947572
516,1813,420,8304,11053,0.046684158147109384,0.16402786573780875,0.03799873337555415,0.7512892427395277
1123,3051,962,14995,20131,0.05578461079926481,0.1515572996870498,0.04778699518156078,0.7448710943321246
160,614,165,2409,3348,0.04778972520908005,0.18339307048984468,0.0492831541218638,0.7195340501792115
94,208,64,1098,1464,0.06420765027322405,0.14207650273224043,0.04371584699453552,0.75
33,165,30,661,889,0.03712035995500562,0.1856017997750281,0.03374578177727784,0.7435320584926884
255,759,253,2578,3845,0.06631989596879063,0.19739921976592978,0.06579973992197659,0.670481144343303
1081,3255,1125,11505,16966,0.0637156666273724,0.19185429682895203,0.06630908876576683,0.6781209477779088
743,1349,727,8445,11264,0.06596235795454546,0.11976207386363637,0.06454190340909091,0.7497336647727273
867,2102,634,9066,12669,0.06843476201752309,0.16591680479911594,0.05004341305548978,0.7156050201278712
3768,12660,3427,36918,56773,0.06636957708770014,0.22299332429147659,0.06036320081728991,0.6502738978035334
